"eta","max_depth","nrounds","subsample","colsample_bytree","gamma","lambda","alpha","auc","time"
"1",0.3,3,700,0.1,0.1,0,0,0,0.947246982675522,1.64338421821594
"2",0.3,3,700,0.2,0.1,0,0,0,0.954765043351786,2.69775533676147
"3",0.3,3,700,0.3,0.1,0,0,0,0.959400172177443,2.76560258865356
"4",0.3,3,700,0.4,0.1,0,0,0,0.961314062706891,2.82374787330627
"5",0.3,3,700,0.5,0.1,0,0,0,0.962788664786794,2.89772891998291
"6",0.3,3,700,0.6,0.1,0,0,0,0.963285857506497,2.8250732421875
"7",0.3,3,700,0.7,0.1,0,0,0,0.963232852459196,2.72025227546692
"8",0.3,3,700,0.8,0.1,0,0,0,0.963944167777909,2.7512993812561
"9",0.3,3,700,0.9,0.1,0,0,0,0.962671246638968,2.71810102462769
"10",0.3,3,700,1,0.1,0,0,0,0.963388424385033,2.38773417472839
"11",0.3,3,700,0.1,0.2,0,0,0,0.944425942313676,1.5035092830658
"12",0.3,3,700,0.2,0.2,0,0,0,0.953489242199408,2.72040033340454
"13",0.3,3,700,0.3,0.2,0,0,0,0.957196641896652,2.91199898719788
"14",0.3,3,700,0.4,0.2,0,0,0,0.960938819356156,3.05260300636292
"15",0.3,3,700,0.5,0.2,0,0,0,0.961907687876509,3.118736743927
"16",0.3,3,700,0.6,0.2,0,0,0,0.963052624418325,3.04000353813171
"17",0.3,3,700,0.7,0.2,0,0,0,0.963949351802096,2.89559292793274
"18",0.3,3,700,0.8,0.2,0,0,0,0.96376564214498,2.86774468421936
"19",0.3,3,700,0.9,0.2,0,0,0,0.963370197099992,2.83015108108521
"20",0.3,3,700,1,0.2,0,0,0,0.962799253636198,2.5147111415863
"21",0.3,3,700,0.1,0.3,0,0,0,0.940886191398615,2.06938743591309
"22",0.3,3,700,0.2,0.3,0,0,0,0.95182953525588,2.91621232032776
"23",0.3,3,700,0.3,0.3,0,0,0,0.95570003651409,3.03537487983704
"24",0.3,3,700,0.4,0.3,0,0,0,0.960754437695905,3.26881790161133
"25",0.3,3,700,0.5,0.3,0,0,0,0.961660966725406,3.36448216438293
"26",0.3,3,700,0.6,0.3,0,0,0,0.962007640342847,3.24177765846252
"27",0.3,3,700,0.7,0.3,0,0,0,0.962368886828278,3.04584407806396
"28",0.3,3,700,0.8,0.3,0,0,0,0.963560258786743,2.97111821174622
"29",0.3,3,700,0.9,0.3,0,0,0,0.96223671981164,2.90062117576599
"30",0.3,3,700,1,0.3,0,0,0,0.962438688753946,2.62215447425842
"31",0.3,3,700,0.1,0.4,0,0,0,0.938385338130634,2.0873589515686
"32",0.3,3,700,0.2,0.4,0,0,0,0.949262470478982,2.99648094177246
"33",0.3,3,700,0.3,0.4,0,0,0,0.955804443401211,3.25626826286316
"34",0.3,3,700,0.4,0.4,0,0,0,0.959388943325054,3.51429677009583
"35",0.3,3,700,0.5,0.4,0,0,0,0.961817165854169,3.47996544837952
"36",0.3,3,700,0.6,0.4,0,0,0,0.962196172422462,3.41233777999878
"37",0.3,3,700,0.7,0.4,0,0,0,0.963011427426116,3.37723469734192
"38",0.3,3,700,0.8,0.4,0,0,0,0.963367589087824,3.52955794334412
"39",0.3,3,700,0.9,0.4,0,0,0,0.962943676710018,3.03568291664124
"40",0.3,3,700,1,0.4,0,0,0,0.962161829862233,2.7633113861084
"41",0.3,3,700,0.1,0.5,0,0,0,0.938375888486545,1.78488039970398
"42",0.3,3,700,0.2,0.5,0,0,0,0.948737815231151,3.24249696731567
"43",0.3,3,700,0.3,0.5,0,0,0,0.956802969659935,3.39224410057068
"44",0.3,3,700,0.4,0.5,0,0,0,0.958365588150488,3.6262993812561
"45",0.3,3,700,0.5,0.5,0,0,0,0.961172081244462,3.71389245986938
"46",0.3,3,700,0.6,0.5,0,0,0,0.962241561434229,3.6004524230957
"47",0.3,3,700,0.7,0.5,0,0,0,0.963040864363457,3.42467474937439
"48",0.3,3,700,0.8,0.5,0,0,0,0.963488818453431,3.26976251602173
"49",0.3,3,700,0.9,0.5,0,0,0,0.962755496632045,3.23516583442688
"50",0.3,3,700,1,0.5,0,0,0,0.961870180501514,2.89756202697754
"51",0.3,3,700,0.1,0.6,0,0,0,0.935840596657888,1.73645830154419
"52",0.3,3,700,0.2,0.6,0,0,0,0.949020587750454,3.24170875549316
"53",0.3,3,700,0.3,0.6,0,0,0,0.955756679978366,3.52553343772888
"54",0.3,3,700,0.4,0.6,0,0,0,0.959709495220621,3.7434184551239
"55",0.3,3,700,0.5,0.6,0,0,0,0.96037479432464,3.85251307487488
"56",0.3,3,700,0.6,0.6,0,0,0,0.962599825505746,3.787358045578
"57",0.3,3,700,0.7,0.6,0,0,0,0.963037353947079,3.70822048187256
"58",0.3,3,700,0.8,0.6,0,0,0,0.962731122118323,3.48489427566528
"59",0.3,3,700,0.9,0.6,0,0,0,0.962858981914866,3.4213080406189
"60",0.3,3,700,1,0.6,0,0,0,0.962401702981385,2.96053314208984
"61",0.3,3,700,0.1,0.7,0,0,0,0.940050763500842,1.96986174583435
